연번	소속	품목	Name	phone
1	한라산	주류	황순일	010-1111-2222
2	위켄더스	식품 	조아라	010-1111-2223
3	영어조합법인 올레바당	식품 	김성후	010-1111-2224
4	대한뷰티산업진흥원	화장품	김수민	010-1111-2225
5	제주리퍼블릭	식품/화장품	류기현	010-1111-2226
6	영어조합법인 일출봉	식품	한우진	010-1111-2227
7	주식회사 일해	식품	김영훈	010-1111-2228
8	주식회사 위드라이크	식품	김남영	010-1111-2229
9	올레마켓	식품	김봉호	010-1111-2230
10	주식회사 제주오름젓갈	식품	신유선	010-1111-2231
11	농업회사법인 호연팜	식품	김효선	010-1111-2232
12	주식회사 신신 	식품	신동윤	010-1111-2233
13	농업회사법인 주식회사 바이오 제주	식품	-	010-1111-2234
14	금영수산	식품	강성민	010-1111-2235
15	한라에스앤에프	식품	이경환	010-1111-2236
16	주식회사 타이거랩	화장품	김창범	010-1111-2237
17	삼십육점오일도	화장품	박란희	010-1111-2238
18	제주마유㈜	화장품	조용현	010-1111-2239
19	주식회사 아일랜드	화장품	정제환	010-1111-2240
20	하이벨라	화장품	설진아	010-1111-2241
21	메타리치	서비스	임경아	010-1111-2242
22	(주)메디큐브	서비스	김병종	010-1111-2243
23	㈜마시브	기계·장비	김용호 	010-1111-2244
24	집스의 과학교실	교육	박은서	010-1111-2245
25	-	-	김대웅	010-1111-2246
